ID,StartTime,Duration_ns,ConnDuration_ns,DialDuration_ns,DNSDuration_ns,RequestDuration_ns,Status,StatusCode,Error
apisix,2024-03-04T09:58:14Z,23138333,1499583,108708,673708,97375,200 OK,200,
apisix,2024-03-04T09:58:14Z,199780083,1287000,128708,658834,85334,200 OK,200,
apisix,2024-03-04T09:58:14Z,214713667,1412458,132750,634083,75084,200 OK,200,
apisix,2024-03-04T09:58:14Z,239088667,1823625,306250,690917,35000,200 OK,200,
apisix-decoupled,2024-03-04T09:58:14Z,225354625,752208,118833,608375,33708,200 OK,200,
kong,2024-03-04T09:58:14Z,8773875,653541,102792,514416,41708,200 OK,200,
upstream,2024-03-04T09:58:14Z,1188125,432833,93875,310792,55791,200 OK,200,
apisix-decoupled,2024-03-04T09:58:14Z,67493084,487542,86375,364209,38750,200 OK,200,
kong,2024-03-04T09:58:14Z,2880875,459417,141334,274541,55500,200 OK,200,
upstream,2024-03-04T09:58:14Z,1523208,365666,118875,200875,58209,200 OK,200,
apisix-decoupled,2024-03-04T09:58:14Z,51564042,419500,79291,290125,35458,200 OK,200,
kong,2024-03-04T09:58:14Z,2249166,301250,54000,220542,32875,200 OK,200,
upstream,2024-03-04T09:58:14Z,1019667,298792,91667,183750,33542,200 OK,200,
apisix,2024-03-04T09:58:14Z,43381750,324458,67500,221875,54625,200 OK,200,
apisix-decoupled,2024-03-04T09:58:14Z,167345292,991334,131875,736833,88292,200 OK,200,
kong,2024-03-04T09:58:14Z,3313958,581375,122083,405292,63000,200 OK,200,
upstream,2024-03-04T09:58:14Z,2345916,666042,407500,224292,32209,200 OK,200,
apisix,2024-03-04T09:58:14Z,179843708,282666,82500,163125,44958,200 OK,200,
apisix-decoupled,2024-03-04T09:58:14Z,143999500,1028916,602625,330417,50958,200 OK,200,
kong,2024-03-04T09:58:14Z,6289208,1970625,240042,1603667,263583,200 OK,200,
upstream,2024-03-04T09:58:14Z,2128417,553750,119000,381292,48791,200 OK,200,
apisix,2024-03-04T09:58:14Z,261251750,613541,232875,342458,50041,200 OK,200,
apisix,2024-03-04T09:58:14Z,192728875,238166,67792,143459,45792,200 OK,200,
apisix,2024-03-04T09:58:14Z,90142708,3222166,339042,2847125,28083,200 OK,200,
apisix-decoupled,2024-03-04T09:58:14Z,73004084,863750,265708,519750,66083,200 OK,200,
kong,2024-03-04T09:58:14Z,7980042,648584,95625,474208,53541,200 OK,200,
upstream,2024-03-04T09:58:14Z,1504083,1001542,358541,519125,89834,200 OK,200,
apisix-decoupled,2024-03-04T09:58:14Z,203053250,1401000,722542,575458,83917,200 OK,200,
kong,2024-03-04T09:58:14Z,2863917,654667,119083,502000,204792,200 OK,200,
upstream,2024-03-04T09:58:14Z,2127875,598208,153833,407084,144667,200 OK,200,
apisix,2024-03-04T09:58:14Z,12566083,1523625,250958,1193542,97292,200 OK,200,
apisix-decoupled,2024-03-04T09:58:14Z,175840083,727250,86125,590000,53292,200 OK,200,
kong,2024-03-04T09:58:14Z,3224208,425583,92875,273833,53333,200 OK,200,
upstream,2024-03-04T09:58:14Z,698042,330000,117541,171792,43709,200 OK,200,
apisix-decoupled,2024-03-04T09:58:14Z,154010292,1820250,123583,1249125,90416,200 OK,200,
kong,2024-03-04T09:58:14Z,1323875,425542,82500,314708,48375,200 OK,200,
upstream,2024-03-04T09:58:14Z,554833,313333,81541,215959,21041,200 OK,200,
apisix-decoupled,2024-03-04T09:58:14Z,52264333,373083,71708,275333,27208,200 OK,200,
kong,2024-03-04T09:58:14Z,1110375,358709,95208,246416,24291,200 OK,200,
upstream,2024-03-04T09:58:14Z,693375,498000,98917,365084,26667,200 OK,200,
apisix,2024-03-04T09:58:14Z,7170584,434417,77583,315500,43959,200 OK,200,
apisix-decoupled,2024-03-04T09:58:14Z,31323833,894000,170584,695584,25000,200 OK,200,
kong,2024-03-04T09:58:14Z,1599333,455750,112083,303500,40250,200 OK,200,
upstream,2024-03-04T09:58:14Z,563000,409875,82250,293667,33250,200 OK,200,
apisix,2024-03-04T09:58:14Z,127243500,727084,527916,159708,41625,200 OK,200,
apisix,2024-03-04T09:58:14Z,154265584,430500,167625,187708,78750,200 OK,200,
apisix-decoupled,2024-03-04T09:58:15Z,6486750,1681792,92917,731417,369959,200 OK,200,
kong,2024-03-04T09:58:15Z,2065875,488291,137500,306709,54875,200 OK,200,
upstream,2024-03-04T09:58:15Z,2283958,729458,414292,196042,150041,200 OK,200,
apisix,2024-03-04T09:58:14Z,75997167,328334,87958,218250,40708,200 OK,200,
apisix-decoupled,2024-03-04T09:58:15Z,6687125,1258250,340417,794666,46083,200 OK,200,
kong,2024-03-04T09:58:15Z,1612834,502125,123667,338041,42334,200 OK,200,
upstream,2024-03-04T09:58:15Z,611000,364250,61542,260792,41667,200 OK,200,
apisix,2024-03-04T09:58:15Z,8248750,681000,375167,283042,25958,200 OK,200,
apisix-decoupled,2024-03-04T09:58:15Z,35286375,367125,94792,225791,52167,200 OK,200,
kong,2024-03-04T09:58:15Z,1295916,547458,75667,435875,50167,200 OK,200,
upstream,2024-03-04T09:58:15Z,652542,381625,180583,158667,96792,200 OK,200,
apisix-decoupled,2024-03-04T09:58:15Z,12842166,633125,134750,469625,77042,200 OK,200,
kong,2024-03-04T09:58:15Z,1180417,358875,82541,244708,41417,200 OK,200,
upstream,2024-03-04T09:58:15Z,919709,465250,67458,382083,29250,200 OK,200,
apisix,2024-03-04T09:58:15Z,15764667,479750,101292,352750,31500,200 OK,200,
apisix,2024-03-04T09:58:14Z,164586916,307958,91833,191375,31000,200 OK,200,
apisix-decoupled,2024-03-04T09:58:15Z,117391459,306250,113125,167041,31833,200 OK,200,
kong,2024-03-04T09:58:15Z,2940125,1072750,199041,733375,115333,200 OK,200,
upstream,2024-03-04T09:58:15Z,1361958,797333,157792,559875,36708,200 OK,200,
apisix,2024-03-04T09:58:15Z,16551792,677417,161167,410667,107541,200 OK,200,
apisix,2024-03-04T09:58:15Z,186843959,945709,128958,737208,36458,200 OK,200,
apisix-decoupled,2024-03-04T09:58:15Z,149811042,297875,97416,176667,35834,200 OK,200,
kong,2024-03-04T09:58:15Z,2246417,879542,456750,396417,25416,200 OK,200,
upstream,2024-03-04T09:58:15Z,1404959,548917,151709,369333,31000,200 OK,200,
apisix,2024-03-04T09:58:15Z,6061209,624416,95042,507417,19625,200 OK,200,
apisix-decoupled,2024-03-04T09:58:15Z,19456375,231250,165708,12166,61000,200 OK,200,
kong,2024-03-04T09:58:15Z,1704833,363292,52042,283250,19041,200 OK,200,
upstream,2024-03-04T09:58:15Z,589500,361292,83000,253375,36250,200 OK,200,
apisix,2024-03-04T09:58:15Z,175154875,348750,117166,194208,28666,200 OK,200,
apisix,2024-03-04T09:58:15Z,8087583,336084,68875,215584,21209,200 OK,200,
apisix-decoupled,2024-03-04T09:58:15Z,6211375,378625,89209,267250,21667,200 OK,200,
kong,2024-03-04T09:58:15Z,1826583,658292,254500,295084,34042,200 OK,200,
upstream,2024-03-04T09:58:15Z,1302375,636292,73209,538083,26000,200 OK,200,
apisix-decoupled,2024-03-04T09:58:15Z,38637250,523041,100833,388250,41459,200 OK,200,
kong,2024-03-04T09:58:15Z,2090542,1095750,107125,960500,41500,200 OK,200,
upstream,2024-03-04T09:58:15Z,692042,514000,49084,443000,27667,200 OK,200,
apisix,2024-03-04T09:58:15Z,5138333,335250,94000,225458,25542,200 OK,200,
apisix,2024-03-04T09:58:15Z,9902166,3671792,47708,3589292,28125,200 OK,200,
apisix-decoupled,2024-03-04T09:58:15Z,5906292,1685417,79125,1465792,197917,200 OK,200,
apisix-decoupled,2024-03-04T09:58:15Z,5092542,338333,84167,223667,43916,200 OK,200,
kong,2024-03-04T09:58:15Z,3607334,972083,333667,604417,41166,200 OK,200,
upstream,2024-03-04T09:58:15Z,2248750,428083,81208,290958,32708,200 OK,200,
apisix,2024-03-04T09:58:15Z,12491708,1265166,212625,879666,45417,200 OK,200,
apisix-decoupled,2024-03-04T09:58:15Z,4476959,527208,125208,360375,28750,200 OK,200,
